,title,track,categories,url
0,Story Ending Prediction by Transferable BERT,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/249
1,Estimating Causal Effects of Tone in Online Debates,Main,['NLP Applications and Tools'],https://www.ijcai.org/proceedings/2019/259
2,TransMS: Knowledge Graph Embedding for Complex Relations by Multidirectional Semantics,Main,"['Natural Language Semantics', 'Embeddings']",https://www.ijcai.org/proceedings/2019/268
3,Learning Semantic Annotations for Tabular Data,Main,"['Knowledge Extraction', 'Embeddings']",https://www.ijcai.org/proceedings/2019/289
4,Co-Attentive Multi-Task Learning for Explainable Recommendation,Main,['Natural Language Generation'],https://www.ijcai.org/proceedings/2019/296
5,Reward Learning for Efficient Reinforcement Learning in Extractive Document Summarisation,Main,"['Natural Language Generation', 'Natural Language Summarization']",https://www.ijcai.org/proceedings/2019/326
6,Using Natural Language for Reward Shaping in Reinforcement Learning,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/331
7,Similarity Preserving Representation Learning for Time Series Clustering,Main,['Embeddings'],https://www.ijcai.org/proceedings/2019/394
8,Meta-Learning for Low-resource Natural Language Generation in Task-oriented Dialogue Systems,Main,"['Natural Language Generation', 'Dialogue']",https://www.ijcai.org/proceedings/2019/437
9,Fine-grained Event Categorization with Heterogeneous Graph Convolutional Networks,Main,['Text Classification'],https://www.ijcai.org/proceedings/2019/449
10,Weakly Supervised Multi-task Learning for Semantic Parsing,Main,"['Natural Language Semantics', 'Tagging, chunking, and parsing']",https://www.ijcai.org/proceedings/2019/468
11,The Pupil Has Become the Master: Teacher-Student Model-Based Word Embedding Distillation with Ensemble Learning,Main,"['NLP Applications and Tools', 'Embeddings']",https://www.ijcai.org/proceedings/2019/477
12,Hierarchical Inter-Attention Network for Document Classification with Multi-Task Learning,Main,"['Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2019/495
13,Learning to Interpret Satellite Images using Wikipedia,Main,['NLP Applications and Tools'],https://www.ijcai.org/proceedings/2019/502
14,DeepCU: Integrating both Common and Unique Latent Information for Multimodal Sentiment Analysis,Main,['Sentiment Analysis and Text Mining'],https://www.ijcai.org/proceedings/2019/503
15,Weak Supervision Enhanced Generative Network for Question Generation,Main,['Natural Language Generation'],https://www.ijcai.org/proceedings/2019/528
16,Neural News Recommendation with Attentive Multi-View Learning,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/536
17,Commit Message Generation for Source Code Changes,Main,['NLP Applications and Tools'],https://www.ijcai.org/proceedings/2019/552
